"model_id","location","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"delphi-epicast","HHS Region 1",0.262404206944491,0.330401617715416,0.5893536121673,0.982889733840304,532
"delphi-epicast","HHS Region 10",0.354945382621549,0.497355929268572,0.460076045627376,0.967680608365019,532
"delphi-epicast","HHS Region 2",0.454197870897999,0.664578362743823,0.429657794676806,0.952471482889734,532
"delphi-epicast","HHS Region 3",0.352958157953831,0.507148354153042,0.439163498098859,0.937262357414449,532
"delphi-epicast","HHS Region 4",0.458341728313833,0.671610171125923,0.441509433962264,0.964150943396226,536
"delphi-epicast","HHS Region 5",0.283639399957262,0.387784837698694,0.541825095057034,1,532
"delphi-epicast","HHS Region 6",0.67314649116407,0.941547784550558,0.465779467680608,0.956273764258555,532
"delphi-epicast","HHS Region 7",0.467329423684526,0.68785275749131,0.403041825095057,0.935361216730038,532
"delphi-epicast","HHS Region 8",0.303322724409843,0.41079895004677,0.526615969581749,0.961977186311787,532
"delphi-epicast","HHS Region 9",0.283631619017883,0.380073078895136,0.566539923954373,0.986692015209126,532
"delphi-epicast","US National",0.313560010639456,0.442457928412165,0.507604562737643,0.990494296577947,532
"hist-avg","HHS Region 1",0.592432229589082,0.978492907321663,0.274809160305344,0.967557251908397,528
"hist-avg","HHS Region 10",0.499423292160669,0.733186211618156,0.57824427480916,0.986641221374046,528
"hist-avg","HHS Region 2",0.958290305497759,1.59503767315457,0.24618320610687,0.912213740458015,528
"hist-avg","HHS Region 3",0.443638962287579,0.663648519556599,0.66030534351145,1,528
"hist-avg","HHS Region 4",0.941266939017452,1.45630111078862,0.248091603053435,0.833969465648855,528
"hist-avg","HHS Region 5",0.430223790610292,0.66811416230992,0.438931297709924,0.984732824427481,528
"hist-avg","HHS Region 6",1.26925116567941,1.96485120057738,0.41030534351145,0.893129770992366,528
"hist-avg","HHS Region 7",0.789522057404801,1.2373040648491,0.456106870229008,0.875954198473282,528
"hist-avg","HHS Region 8",0.771384382084888,1.10255576444494,0.49236641221374,0.864503816793893,528
"hist-avg","HHS Region 9",0.382004280169966,0.533888875726245,0.75381679389313,1,528
"hist-avg","US National",0.607631777213841,0.967822633772449,0.358778625954198,0.923664122137405,528
